,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
2,2,0,0,302879.87,-1,0.999561,1819368.03,,,0.999403,37956.0,1.000298,18995.0,1.0,-8.38995,0,0_0_2
193,2,0,10,184766.21,-1,0.999561,1937481.68,,,0.999403,37956.0,1.000298,379.9,1.00029,-7.4601173,1,0_10_2
384,2,0,20,169764.64,-1,0.999351,1952483.25,,,0.999193,18974.0,0.999877,569.61,0.999857,-6.380081,2,0_20_2
575,2,0,30,169764.64,-1,0.999351,1952483.25,,,0.999193,18974.0,0.999877,189.87,0.99987,-5.8197975,3,0_30_2
766,2,0,40,169764.64,-1,0.999351,1952483.25,,,0.999193,18974.0,0.99993,49368.8,0.999397,-0.28014183,4,0_40_2
957,2,0,50,165207.2,-1,0.999824,1957040.69,,,0.999193,18974.0,1.00093,380.14,1.000896,-16.279816,5,0_50_2
1148,2,0,60,169954.53,-1,0.999824,1957040.69,,,0.999719,18984.0,1.000246,19183.94,0.999981,9.080172,6,0_60_2
1339,2,0,70,168625.28,-1,0.999824,1958369.95,,,0.999719,18984.0,1.000193,9686.43,1.000033,9.540319,7,0_70_2
1530,2,0,80,172423.15,-1,0.999245,1958369.95,,,0.998982,2086.7,0.999666,9681.33,0.999103,14.7295,8,0_80_2
1721,2,0,90,172423.15,-1,0.999193,1958369.95,,,0.998982,2086.7,0.999561,9680.31,0.999085,14.139414,9,0_90_2
1912,2,0,100,172423.15,-1,0.998982,1958369.95,,,0.998982,2086.7,0.999351,47632.27,0.998997,11.34038,10,0_100_2
2103,2,0,110,163688.05,-1,0.999035,1967105.04,,,0.998771,1517.28,0.999351,18977.0,0.998814,20.22028,11,0_110_2
2294,2,0,120,161219.44,-1,0.999351,1969573.65,,,0.999193,18974.0,1.000298,189.95,1.000287,2.95043,12,0_120_2
2485,2,0,130,162358.8,-1,0.999403,1980397.57,,,0.999193,18974.0,1.000298,189.95,1.000287,-3.1799078,13,0_130_2
2676,2,0,140,153243.92,-1,0.999877,1989512.45,,,0.999772,19934.25,1.000298,189.95,1.000293,-0.9697676,14,0_140_2
2867,2,0,150,153243.92,-1,0.999877,1989512.45,,,0.999772,19934.25,1.000298,189.95,1.000293,-4.159808,15,0_150_2
3058,2,0,160,146217.87,-1,0.998929,1996538.51,,,0.998771,19345.32,1.000562,19190.0,0.999671,-4.5102835,16,0_160_2
3249,2,0,170,146217.87,-1,0.999193,1996538.51,,,0.998771,19914.3,1.000298,189.95,1.000284,-11.249781,17,0_170_2
3440,2,0,180,218567.23,-1,0.999193,2000336.37,,,0.998771,19914.3,1.00014,189.92,1.000128,-8.419752,18,0_180_2
3631,2,0,190,88870.08,-1,0.999193,2130033.52,,,0.998824,37934.0,1.000509,38377.98,0.999662,-3.2901764,19,0_190_2
3822,2,0,200,101403.04,-1,0.999193,2130033.52,,,0.998824,56901.0,1.000509,38187.99,0.999833,-1.6701221,20,0_200_2
4013,2,0,210,101403.04,-1,0.999035,2130033.52,,,0.998877,40970.88,0.999772,18985.0,0.999488,-0.45001507,21,0_210_2
4204,2,0,220,101403.04,-1,0.99914,2130033.52,,,0.998877,40970.88,0.999772,57714.4,0.999248,15.599728,22,0_220_2
4395,2,0,230,80134.99,-1,0.99914,2151301.57,,,0.998929,22004.04,1.000088,37982.0,0.999355,-0.18000603,23,0_230_2
4586,2,0,240,132735.44,-1,0.99914,2195356.83,,,0.998929,40973.04,1.000088,39691.19,0.999518,-3.3199787,24,0_240_2
4777,2,0,250,632534.69,-1,0.99914,2198774.91,,,0.998929,37938.0,1.000088,41970.11,0.99948,2.2697449,25,0_250_2
4968,2,0,260,612026.21,-1,0.999087,2236753.57,,,0.998929,40403.97,0.999982,19368.78,0.999641,0.04053116,26,0_260_2
5159,2,0,270,612026.21,-1,0.99914,2236753.57,,,0.998929,40403.97,0.999982,43105.03,0.999439,7.4005127,27,0_270_2
5350,2,0,280,0.0,0,0.999193,3302055.17,,,0.999035,18971.0,1.00093,380.14,1.000893,-5.069971,28,0_280_2
5541,2,0,290,171473.68,-1,1.000193,3747165.15,,,0.999035,37942.0,1.001036,58357.63,0.999824,8.8095665,29,0_290_2
5732,2,0,300,0.0,0,1.000193,4671376.0,1.000193,1.000193,0.999035,18971.0,1.001036,59688.26,0.999518,14.009476,30,0_300_2
5923,2,0,310,0.0,0,0.999719,4501991.15,0.999719,0.999719,0.999508,94900.0,1.000509,83975.58,1.00004,1.0001659,31,0_310_2
6114,2,0,320,0.0,0,0.999666,4501991.15,0.999666,0.999666,0.999508,94900.0,1.000509,33818.22,1.000246,-5.900264,32,0_320_2
6305,2,0,330,0.0,0,1.000219,4671376.0,1.000219,1.000219,0.999508,129064.0,1.000983,22429.44,1.000765,-12.490153,33,0_330_2
6496,2,0,340,0.0,0,0.999772,4501991.15,0.999772,0.999772,0.999561,37962.0,1.000983,6462.72,1.000776,-15.990138,34,0_340_2
6687,2,0,350,0.0,0,1.000298,4671376.0,1.000298,1.000298,0.999561,18981.0,1.000983,10264.32,1.000484,-12.609959,35,0_350_2
6878,2,0,360,0.0,0,0.999982,4671376.0,0.999982,0.999982,0.999614,37964.0,1.000983,7032.96,1.000769,-11.7099285,36,0_360_2
7069,2,0,370,0.0,0,0.999824,4671376.0,0.999824,0.999824,0.999666,18983.0,1.000667,20142.12,1.000152,-1.4597178,37,0_370_2
7260,2,0,380,0.0,0,0.99914,4445023.15,0.99914,0.99914,0.999035,18971.0,0.999772,3986.85,0.999644,-0.25987625,38,0_380_2
7451,2,0,390,0.0,0,0.999666,4501991.15,0.999666,0.999666,0.999298,47250.24,0.999772,4936.1,0.999727,-0.9202957,39,0_390_2
7642,2,0,400,0.0,0,0.99993,4671376.0,0.99993,0.99993,0.999456,189.79,1.000404,168123.45,0.999457,-4.43995,40,0_400_2
7833,2,0,410,0.0,0,0.999666,4501991.15,0.999666,0.999666,0.999456,38147.79,1.000404,223974.63,0.999594,-2.2101402,41,0_410_2
8024,2,0,420,0.0,0,0.999877,4671376.0,0.999877,0.999877,0.999719,189.84,1.000667,19572.06,0.999728,-3.2001734,42,0_420_2
8215,2,0,430,0.0,0,0.999298,4445023.15,0.999298,0.999298,0.999035,18971.0,1.000088,189.91,1.000077,-7.2699785,43,0_430_2
8406,2,0,440,0.0,0,0.999298,4445023.15,0.999298,0.999298,0.999035,132797.0,1.000088,61151.02,0.999756,2.4199486,44,0_440_2
8597,2,0,450,0.0,0,0.999298,4445023.15,0.999298,0.999298,0.999035,189710.0,1.000088,63240.03,0.999825,1.180172,45,0_450_2
8788,2,0,460,0.0,0,0.999351,4445023.15,0.999351,0.999351,0.99914,189.73,1.000088,6646.85,0.999166,8.62956,46,0_460_2
8979,2,0,470,0.0,0,0.999719,4876650.69,0.999719,0.999719,0.999561,3796.2,1.000193,101232.69,0.999584,2.9301643,47,0_470_2
9170,2,0,480,0.0,0,0.999614,4949759.63,0.999614,0.999614,0.999035,56913.0,1.000298,25453.3,0.999908,7.059574,48,0_480_2
9361,2,0,490,0.0,0,0.999666,4952608.03,0.999666,0.999666,0.999087,18972.0,1.000298,18045.25,0.999708,12.73036,49,0_490_2
9552,2,0,500,0.0,0,0.99993,5121992.88,0.99993,0.99993,0.999666,62264.24,1.000509,6459.66,1.00043,6.74963,50,0_500_2
9743,2,0,510,0.0,0,0.99993,5121992.88,0.99993,0.99993,0.999666,124338.65,1.000509,82645.65,1.000173,8.13961,51,0_510_2
9934,2,0,520,0.0,0,1.000193,5168516.75,1.000193,1.000193,1.000088,32284.7,1.000562,44080.0,1.000288,11.780262,52,0_520_2
10125,2,0,530,0.0,0,1.000193,5168516.75,1.000193,1.000193,0.999719,759.36,1.000614,2090.11,0.999958,4.9495697,53,0_530_2
10316,2,0,540,0.0,0,0.999877,5121992.88,0.999877,0.999877,0.999772,18985.0,1.000667,380.04,1.000649,-19.270182,54,0_540_2
10507,2,1,0,867091.9,1,1.000126,4229483.69,,,0.999645,23209.08,1.000286,18729.0,1.0,-2.7102232,55,1_0_2
10698,2,1,10,788265.36,1,1.000072,4308310.22,,,0.999645,41926.08,1.000126,18913.26,0.999977,-3.259778,56,1_10_2
10889,2,1,20,788265.36,1,1.000072,4308310.22,,,0.999645,49412.88,1.000126,18913.26,0.999993,-4.3302774,57,1_20_2
11080,2,1,30,753626.63,1,0.999538,4342948.96,,,0.998363,186.93,0.999592,3181.72,0.998432,8.000135,58,1_30_2
11271,2,1,40,753626.63,1,0.999592,4342948.96,,,0.998897,37406.0,0.999592,21897.72,0.999336,2.6905537,59,1_40_2
11462,2,1,50,753626.63,1,0.999592,4342948.96,,,0.998897,37406.0,0.999592,21897.72,0.999336,-1.0001659,60,1_50_2
11653,2,1,60,753626.63,1,0.999538,4342948.96,,,0.998897,37406.0,0.999538,1684.35,0.999511,-3.029704,61,1_60_2
11844,2,1,70,753439.39,1,0.999699,4343136.2,,,0.999485,7672.74,0.999699,31259.06,0.999527,-4.6497583,62,1_70_2
