,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
0,0,0,0,3180602.69,1,0.999812,13380276.64,,,0.999812,60651.5,1.000026,8493.03,1.0,-3.029704,0,0_0_0
191,0,0,10,1299772.7,1,1.000026,15261106.63,,,0.999812,13996.5,1.000026,23519.16,0.999892,0.38981438,1,0_10_0
382,0,0,20,1299772.7,1,0.999919,15261106.63,,,0.999812,4665.5,0.999919,12131.6,0.999842,4.220009,2,0_20_0
573,0,0,30,1299772.7,1,1.000133,15261106.63,,,1.000026,55998.0,1.000133,46203.3,1.000085,5.4502487,3,0_30_0
764,0,0,40,1218204.43,1,1.000455,15342674.9,,,1.000241,14655.95,1.000455,26610.45,1.000317,3.169775,4,0_40_0
955,0,0,50,1218204.43,1,1.000455,15342674.9,,,1.000348,42012.0,1.000455,9897.22,1.000434,0.5996227,5,0_50_0
1146,0,0,60,1218204.43,1,1.000562,15342674.9,,,1.000455,14005.5,1.000562,10085.04,1.000517,-0.2002716,6,0_60_0
1337,0,0,70,1264494.89,1,1.000455,15352380.96,,,1.000348,37904.16,1.000455,17366.82,1.000421,2.4104118,7,0_70_0
1528,0,0,80,1189832.86,1,1.000241,15427043.0,,,1.000133,9427.34,1.000241,61984.4,1.000148,-0.38981438,8,0_80_0
1719,0,0,90,1189272.89,1,1.000562,15427602.97,,,1.000348,23340.0,1.000562,40433.54,1.000426,-4.339814,9,0_90_0
1910,0,0,100,1249282.5,1,1.000348,15427602.97,,,1.000241,9801.75,1.000348,42572.16,1.000261,-2.0498037,10,0_100_0
2101,0,0,110,1277280.77,1,1.000133,15399604.7,,,1.000026,5039.82,1.000133,28375.36,1.000042,0.02026558,11,0_110_0
2292,0,0,120,1216057.9,1,1.000133,15460827.57,,,0.999812,43482.46,1.000026,68224.23,0.999895,2.2900105,12,0_120_0
2483,0,0,130,1216057.9,1,1.000026,15460827.57,,,0.999812,32658.5,1.000026,13999.5,0.999962,1.0001659,13,0_130_0
2674,0,0,140,1104904.79,1,0.999919,15571980.68,,,0.999705,33028.2,0.999919,25196.4,0.999826,-1.6999245,14,0_140_0
2865,0,0,150,1085679.32,1,0.999812,15591206.15,,,0.999705,51688.2,0.999812,15769.39,0.999787,-1.6802549,15,0_150_0
3056,0,0,160,1085679.32,1,0.999598,15591206.15,,,0.999491,7089.28,0.999598,186.58,0.999595,-4.119873,16,0_160_0
3247,0,0,170,1085679.32,1,0.999598,15591206.15,,,0.999383,29939.67,0.999598,28173.58,0.999494,-4.490018,17,0_170_0
3438,0,0,180,1445736.98,1,0.999705,15642349.64,,,0.999598,18658.0,0.999705,9330.0,0.999669,-3.029704,18,0_180_0
3629,0,0,190,1771730.09,1,0.999812,15642349.64,,,0.999705,18660.0,0.999812,21181.37,0.999755,-5.9199333,19,0_190_0
3820,0,0,200,1743731.83,1,0.999383,15670347.91,,,0.999276,11191.2,0.999383,59692.8,0.999293,0.51021576,20,0_200_0
4011,0,0,210,1743731.83,1,0.999383,15670347.91,,,0.999169,30119.75,0.999383,74802.54,0.999231,0.6902218,21,0_210_0
4202,0,0,220,1743731.83,1,0.999383,15670347.91,,,0.999169,20794.75,0.999383,84502.62,0.999211,5.2702427,22,0_220_0
4393,0,0,230,1797301.84,1,0.999276,15670347.91,,,0.999169,18743.25,0.999276,9326.0,0.999241,6.6304207,23,0_230_0
4584,0,0,240,1783022.73,1,0.999705,15687146.86,,,0.999491,37778.4,0.999705,37320.0,0.999598,2.13027,24,0_240_0
4775,0,0,250,2445554.96,1,0.999276,15687986.81,,,0.999276,9326.0,0.999491,51304.0,0.999309,2.2900105,25,0_250_0
4966,0,0,260,2396184.69,1,0.999276,15737357.08,,,0.999276,9326.0,0.999383,13803.96,0.999319,-0.93996525,26,0_260_0
5157,0,0,270,2396184.69,1,0.999383,15737357.08,,,0.999276,9326.0,0.999383,41784.96,0.999296,-1.0597706,27,0_270_0
5348,0,0,280,7226445.05,1,0.999383,16782158.94,,,0.999705,13995.0,1.000026,23985.81,0.999823,-9.760261,28,0_280_0
5539,0,0,290,8512685.26,1,0.999919,17414453.05,,,1.000241,3734.0,1.000776,9620.2,1.00039,-10.67996,29,0_290_0
5730,0,0,300,0.0,0,1.000241,26670118.88,1.000241,1.000241,1.000026,19319.31,1.000241,16149.55,1.000143,-10.039806,30,0_300_0
5921,0,0,310,0.0,0,0.999919,26670118.88,0.999919,0.999919,0.999812,22767.64,0.999919,18664.0,0.999871,-6.0397387,31,0_310_0
6112,0,0,320,0.0,0,0.999919,26670118.88,0.999919,0.999919,0.999705,49262.4,0.999919,37607.96,0.999826,-5.440116,32,0_320_0
6303,0,0,330,0.0,0,0.999812,26670118.88,0.999812,0.999812,0.999705,27990.0,0.999812,14276.43,0.999776,-7.4398518,33,0_330_0
6494,0,0,340,0.0,0,0.999491,26670118.88,0.999491,0.999491,0.999169,18743.25,0.999383,40012.83,0.999237,-2.7000904,34,0_340_0
6685,0,0,350,0.0,0,0.999169,26670118.88,0.999169,0.999169,0.999062,22564.08,0.999169,37486.5,0.999102,-4.4697523,35,0_350_0
6876,0,0,360,0.0,0,0.999062,26670118.88,0.999062,0.999062,0.998955,46987.92,0.999062,96969.6,0.99899,-2.7298927,36,0_360_0
7067,0,0,370,0.0,0,0.999383,26670118.88,0.999383,0.999383,0.999276,746.08,0.999383,22384.8,0.99928,-4.2402744,37,0_370_0
7258,0,0,380,0.0,0,0.999276,26670118.88,0.999276,0.999276,0.999169,46904.75,0.999276,2797.8,0.99927,-4.259944,38,0_380_0
7449,0,0,390,0.0,0,0.999276,26670118.88,0.999276,0.999276,0.999169,116842.25,0.999276,50173.88,0.999244,-2.0098686,39,0_390_0
7640,0,0,400,0.0,0,0.999276,26670118.88,0.999276,0.999276,0.999169,116842.25,0.999276,41687.22,0.999248,0.5197525,40,0_400_0
7831,0,0,410,0.0,0,0.999062,26670118.88,0.999062,0.999062,0.998955,19018.92,0.999062,9510.48,0.999026,1.2505054,41,0_410_0
8022,0,0,420,0.0,0,0.998955,26670118.88,0.998955,0.998955,0.998848,186.44,0.998955,65074.54,0.998848,1.2397766,42,0_420_0
8213,0,0,430,0.0,0,0.998955,26670118.88,0.998955,0.998955,0.998848,96482.7,0.998955,34401.87,0.998927,0.5698204,43,0_430_0
8404,0,0,440,0.0,0,0.999062,26670118.88,0.999062,0.999062,0.998955,30579.44,0.999062,88205.04,0.998982,0.10967255,44,0_440_0
8595,0,0,450,0.0,0,0.999276,26670118.88,0.999276,0.999276,0.999169,50355.0,0.999276,35159.02,0.999232,1.1694431,45,0_450_0
8786,0,0,460,354831.32,1,0.999491,26766712.89,1.000241,0.999812,0.999383,120598.11,0.999491,64083.36,0.999453,-2.8800964,46,0_460_0
8977,0,0,470,968926.56,1,0.999383,26804603.87,1.000241,0.999919,0.999276,71996.72,0.999383,18747.27,0.999361,0.12993813,47,0_470_0
